chunk_id,word_count,char_count,chunk_text,source_file,publication_year,source_title,section,header_level,page_number,avg_word_length,read_time_sec,metadata
chunk_0011,163,877,"## Reasonable skill and care

As a Good Samaritan, when you give first aid you are expected to use reasonable skill and care according to your level of knowledge and skills.

## Negligence

Give only the care that you have been trained to provide, and always act in the best interest of the casualty.

## Abandonment

Never abandon a casualty in your care. Stay until:

• You hand them over to medical help

• You hand them over to another first aider

• They no longer want your help- this is usually because the problem is no longer an emergency, and further care is not needed

## Giving first aid in Quebec

The Quebec Charter of Human Rights and Freedoms declares that any person whose life is in danger has the right to be helped. This means that you are required to help a person whose life is at risk, provided you do not put your own life, or anyone else's, in danger.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Reasonable skill and care,2,,5.38,48.9,"{'chunk_id': 'chunk_0011', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Reasonable skill and care', 'header_level': 2, 'page_number': None, 'word_count': 163, 'char_count': 877, 'avg_word_length': 5.38, 'read_time_sec': 48.9}"
chunk_0012,200,1141,"## Safety and personal protection

In any emergency, first aid providers must always be aware of hazards and give first aid safely. A hazard is anything that poses a risk of injury or death to a first aid provider. There are three basic types of risks to be aware of: • The energy source that caused the original injury- is the mechanism that caused the original injury still active, causing injury to others? Example: where an injury has been caused by machinery, is the machinery still running? • There may be hazards caused by external factors. Example: passing vehicles may pose a risk at the scene of a motor vehicle incident • There may be hazards associated with first aid procedures or a rescue. Example: moving a heavy casualty could place the first aider at risk of injury Some hazards can be controlled by the first aid provider. When controlling hazards, keep the following principles in mind: • Use mechanical means whenever possible (broom, dustpan, tools, etc.) • Be careful when lifting or moving objects on or near a casualty • Have someone assist you where possible • Turn on lights where no other risks to doing so exist •",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Safety and personal protection,2,,5.7,60.0,"{'chunk_id': 'chunk_0012', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Safety and personal protection', 'header_level': 2, 'page_number': None, 'word_count': 200, 'char_count': 1141, 'avg_word_length': 5.7, 'read_time_sec': 60.0}"
chunk_0013,195,1171,"## Safety and personal protection

pose a risk at the scene of a motor vehicle incident • There may be hazards associated with first aid procedures or a rescue. Example: moving a heavy casualty could place the first aider at risk of injury Some hazards can be controlled by the first aid provider. When controlling hazards, keep the following principles in mind: • Use mechanical means whenever possible (broom, dustpan, tools, etc.) • Be careful when lifting or moving objects on or near a casualty • Have someone assist you where possible • Turn on lights where no other risks to doing so exist • Ensure safe footing - many injuries to first aiders are a result of slips and falls. Hazards that require specialized training to control (electrical hazards, fire, gases, etc.) should only be controlled by those who are properly trained. Most workplaces that deal regularly with these types of hazards will have a specialized response team. Refer to your workplace's policies and protocols. When dealing with chemical hazards, a Safety Data Sheet (SDS/ MSDS) should be accessible and will provide information on how to control the hazards along with first aid directions.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Safety and personal protection,2,,6.01,58.5,"{'chunk_id': 'chunk_0013', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Safety and personal protection', 'header_level': 2, 'page_number': None, 'word_count': 195, 'char_count': 1171, 'avg_word_length': 6.01, 'read_time_sec': 58.5}"
chunk_0014,174,1061,"## Safety and personal protection

to doing so exist • Ensure safe footing - many injuries to first aiders are a result of slips and falls. Hazards that require specialized training to control (electrical hazards, fire, gases, etc.) should only be controlled by those who are properly trained. Most workplaces that deal regularly with these types of hazards will have a specialized response team. Refer to your workplace's policies and protocols. When dealing with chemical hazards, a Safety Data Sheet (SDS/ MSDS) should be accessible and will provide information on how to control the hazards along with first aid directions.

## Airborne pathogens

Examples of infections that can be spread through the air are:

• Meningitis is a bacterial or viral infection which causes swelling that affects the spinal cord and brain

• Tuberculosis is a bacterial infection that primarily affects the lungs, but can affect any part of the body

• Influenza , or 'the flu,' is a viral infection which is easily spread, and can vary from being mildly debilitating to fatal",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Safety and personal protection,2,,6.1,52.2,"{'chunk_id': 'chunk_0014', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Safety and personal protection', 'header_level': 2, 'page_number': None, 'word_count': 174, 'char_count': 1061, 'avg_word_length': 6.1, 'read_time_sec': 52.2}"
chunk_0015,194,1129,"## Body fluid and blood- borne pathogens

Exposure to blood or body fluids (i.e. vomit, feces) poses a health risk to first aiders. There are three diseases that first aiders should be aware of:

• Human immunodeficiency virus (HIV) is the virus responsible for AIDS. There is no vaccine to protect people from this virus. The best defence remains adequate

protection to help prevent infection.

• Hepatitis B is one of the three common forms of hepatitis, a viral disease that can cause severe liver damage. Some people who have Hepatitis B have no symptoms but are still contagious. There is a vaccine to prevent Hepatitis B.

• Hepatitis C causes much of the same liver damage as Hepatitis B, but there is currently no vaccine available to prevent this disease.

## Sharp objects

If a sharp object touches infected blood and then pricks or cuts your skin, you could become infected. First aiders do not use sharp objects like scalpels and needles, but there may be broken glass or other sharp objects that have been in contact with blood or other bodily fluids. Always wear gloves and handle sharp objects with extreme care.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Body fluid and blood- borne pathogens,2,,5.82,58.2,"{'chunk_id': 'chunk_0015', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Body fluid and blood- borne pathogens', 'header_level': 2, 'page_number': None, 'word_count': 194, 'char_count': 1129, 'avg_word_length': 5.82, 'read_time_sec': 58.2}"
chunk_0016,174,1087,"## Personal Protective Equipment

Personal Protective Equipment (PPE) is clothing and equipment used to protect the first aider and to minimize the risks of health and safety hazards when in contact with a casualty. PPE can be gloves, a pocket mask used for ventilations, a helmet, eye protection, safety boots, etc.

Use a face mask or shield when providing artificial respiration or CPR. Always follow the manufacturer's directions for disinfecting and cleaning reusable items. Single- use masks, one- way valves, and gloves are disposed of by double bagging with other contaminated articles. If used in the workplace, follow provincial/territorial and/or company protocols for disposal of hazardous items.

Disposable gloves prevent direct hand contact between the first aider and the casualty. Wear gloves when you might touch blood, bodily fluids, tissue or anything that has come in contact with one of these.

If you tear a glove, wash your hands as soon as possible, and put on a new pair. Dispose of contaminated gloves by sealing them in a plastic bag and double- bagging them.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Personal Protective Equipment,2,,6.25,52.2,"{'chunk_id': 'chunk_0016', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Personal Protective Equipment', 'header_level': 2, 'page_number': None, 'word_count': 174, 'char_count': 1087, 'avg_word_length': 6.25, 'read_time_sec': 52.2}"
chunk_0017,166,947,"## How to remove gloves

Once gloves have been used, they are contaminated and are a possible source of infection. Take them off without touching their outer surface following the steps below.

## Protecting the first aider

Areas of the body that may have come into contact with a casualty need to be cleaned with hot, soapy water, an anti- septic solution, or a mixture of bleach and water (at a ratio of 1:10). Spills should be cleaned, then sanitized with the bleach and water solution for 20 minutes.

Anyone who has been exposed to possible contaminants should take a hot shower with soap and rinse thoroughly. Anyone who has been exposed to contaminants from a needle stick or sharps injury should seek medical attention.

If an injury occurs due to violence, or a first aider and/or casualty becomes at risk due to violence, you must protect yourself and call for help. Your skills as a first aider are valuable only when the area is safe.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",How to remove gloves,2,,5.7,49.8,"{'chunk_id': 'chunk_0017', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'How to remove gloves', 'header_level': 2, 'page_number': None, 'word_count': 166, 'char_count': 947, 'avg_word_length': 5.7, 'read_time_sec': 49.8}"
chunk_0018,123,728,"## Clean up

After an emergency, it is important to clean- up the area and equipment used properly. Any hard surfaces should be disinfected. Fabrics, where possible, should be laundered. Porous surfaces or materials that cannot be laundered may need to be disposed of.

• Items intended to be reused (scissors, forceps) should be wiped of blood and fluids, immersed in a 10% bleach solution (or other disinfecting solution) for 10 minutes, then rinsed and dried

• One- time use items (gauze, gloves) should be put into a garbage bag and tied. That garbage bag can then be put into the regular garbage.

• Any surfaces contaminated by blood or other fluids should be cleaned with a bleach solution or other disinfecting solution",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Clean up,2,,5.92,36.9,"{'chunk_id': 'chunk_0018', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Clean up', 'header_level': 2, 'page_number': None, 'word_count': 123, 'char_count': 728, 'avg_word_length': 5.92, 'read_time_sec': 36.9}"
chunk_0019,195,1161,"## Sharps

In an emergency, sharp objects (or 'sharps') may be the cause of the injuries, or used in the first aid. It is important to dispose of these sharp objects properly for both the safety of first aid providers and others. Sharps can include needles, knives, and broken glass. These items may contain contaminated blood and can cut the first aider, exposing them to the contamination.

Cleaning up glass should always be done with mechanical means such as a broom and dustpan. The cleaned up glass should be placed in a puncture- proof container like a cardboard box.

When handling knives, always grasp by the handle and carried blade down. Cleaning knives should follow the steps above for hard surfaces.

Needles should be disposed of in a sharps container. These plastic containers have thick walls and a secured lid that prevents accidental punctures. Ambulances will carry sharps containers and any needles found or used during an emergency can be placed in these containers. Always handle needles by the barrel (the plastic part with the plunger) and never try to re- cap a used needle.

Needles must never be disposed of into the general garbage.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Sharps,2,,5.95,58.5,"{'chunk_id': 'chunk_0019', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Sharps', 'header_level': 2, 'page_number': None, 'word_count': 195, 'char_count': 1161, 'avg_word_length': 5.95, 'read_time_sec': 58.5}"
chunk_0020,177,1045,"## Help at the emergency scene

Bystanders should be asked to leave unless asked to stay and assist.

Other first aiders may offer to help. Identify yourself and accept their assistance. If someone is more qualified to handle the situation, you may ask that person to take control.

First responders include ambulance personnel, police officers and firefighters. They will take charge of the scene as soon as they arrive.

Other authorities may be called to the scene (e.g. an electrical utility crew may arrive if there are downed power lines). Identify yourself and continue giving first aid.

Off- duty doctors, nurses and other health professionals may identify themselves and offer to help.

## Ten ways a bystander can help

• Make the area safe

• Find all the casualties

• Find a first aid kit

• Control the crowd

• Call for medical help

• Help give first aid, under your direction

• Gather and protect the casualty's belongings

• Take notes

• Reassure the casualty's relatives

• Lead the paramedics to the scene of the emergency",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Help at the emergency scene,2,,5.9,53.1,"{'chunk_id': 'chunk_0020', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Help at the emergency scene', 'header_level': 2, 'page_number': None, 'word_count': 177, 'char_count': 1045, 'avg_word_length': 5.9, 'read_time_sec': 53.1}"
chunk_0021,200,1133,"## Signs and symptoms and mechanism of injury

When referring to injuries, first aiders need to understand signs and symptoms. • A sign is something we can see, feel, hear or smell (e.g. bleeding, bruising, agonal breathing, skin discolouration). • A symptom is something the casualty is feeling (e.g. nauseous, weakness, pain) and must tell you. Mechanism of injury encompasses both what happened to the casualty, and how the injury has affected the casualty. It identifies the cause of the injury. Mechanisms of injury that require an ambulance right away: • A fall from 6.5 meters (20 feet) or more • A vehicle collision with signs of a severe impact • Severe damage to the inside of the vehicle, a bent steering wheel, or a broken windshield • Casualty was thrown from a vehicle • The vehicle has rolled over • Casualty was struck by a vehicle • Crush injuries When any of these mechanisms are apparent, call an ambulance as soon as you can. When we understand the cause of the injury, we are able to predict what injuries may be present and what injuries are not likely, even in situations in which there are no visible signs of",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Signs and symptoms and mechanism of injury,2,,5.66,60.0,"{'chunk_id': 'chunk_0021', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Signs and symptoms and mechanism of injury', 'header_level': 2, 'page_number': None, 'word_count': 200, 'char_count': 1133, 'avg_word_length': 5.66, 'read_time_sec': 60.0}"
chunk_0022,144,795,"## Signs and symptoms and mechanism of injury

• A vehicle collision with signs of a severe impact • Severe damage to the inside of the vehicle, a bent steering wheel, or a broken windshield • Casualty was thrown from a vehicle • The vehicle has rolled over • Casualty was struck by a vehicle • Crush injuries When any of these mechanisms are apparent, call an ambulance as soon as you can. When we understand the cause of the injury, we are able to predict what injuries may be present and what injuries are not likely, even in situations in which there are no visible signs of injury and/or the casualty is unable to describe their symptoms.

## Signs and symptoms and mechanism of injury

in which there are no visible signs of injury and/or the casualty is unable to describe their symptoms.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",Signs and symptoms and mechanism of injury,2,,5.52,43.2,"{'chunk_id': 'chunk_0022', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'Signs and symptoms and mechanism of injury', 'header_level': 2, 'page_number': None, 'word_count': 144, 'char_count': 795, 'avg_word_length': 5.52, 'read_time_sec': 43.2}"
chunk_0023,200,1126,"## The importance of medical help

In first aid, any type of medical care is referred to as medical help. Unless an injury is very minor, you should always make sure the casualty receives medical help following first aid. Medical help may be given at the scene, en route to a medical facility, or in a hospital. Know the EMS telephone number for your community. This is often 9-1-1 in urban areas. If you are outside of your community, find the EMS phone numbers in the first few pages of the telephone book, or search online. Calling for medical help is important. The period immediately following a severe, life- threatening injury is known as the golden hour . This time is 'golden' because the faster a casualty makes it to a hospital emergency room or operating room, the better the chances of survival and recovery. You can ask a bystander to call for medical help. Provide the person with: • Necessary phone number • A description of the casualty's condition • Directions to follow to reach the scene • Instructions to report back to you after getting medical help If you are alone, you must decide whether to stay with",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",The importance of medical help,2,,5.63,60.0,"{'chunk_id': 'chunk_0023', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'The importance of medical help', 'header_level': 2, 'page_number': None, 'word_count': 200, 'char_count': 1126, 'avg_word_length': 5.63, 'read_time_sec': 60.0}"
chunk_0024,190,1092,"## The importance of medical help

is important. The period immediately following a severe, life- threatening injury is known as the golden hour . This time is 'golden' because the faster a casualty makes it to a hospital emergency room or operating room, the better the chances of survival and recovery. You can ask a bystander to call for medical help. Provide the person with: • Necessary phone number • A description of the casualty's condition • Directions to follow to reach the scene • Instructions to report back to you after getting medical help If you are alone, you must decide whether to stay with the casualty or leave to get help. The correct decision will depend on the specifics of the situation. If you have a mobile phone, call from the scene and perform first aid with the dispatcher's assistance.

## The importance of medical help

must decide whether to stay with the casualty or leave to get help. The correct decision will depend on the specifics of the situation. If you have a mobile phone, call from the scene and perform first aid with the dispatcher's assistance.",First aid reference guide_V4.1_Public.pdf,2019,"First Aid Reference Guide, 4th Edition — St. John Ambulance Canada",The importance of medical help,2,,5.75,57.0,"{'chunk_id': 'chunk_0024', 'source_title': 'First Aid Reference Guide, 4th Edition — St. John Ambulance Canada', 'source_file': 'First aid reference guide_V4.1_Public.pdf', 'publication_year': 2019, 'section': 'The importance of medical help', 'header_level': 2, 'page_number': None, 'word_count': 190, 'char_count': 1092, 'avg_word_length': 5.75, 'read_time_sec': 57.0}"
